,inside_ad_flag
sample_124,True
sample_141,True
sample_118,True
sample_13,True
sample_116,True
sample_135,True
sample_130,True
sample_120,True
sample_119,True
sample_110,True
sample_134,True
sample_114,True
sample_140,True
sample_102,True
sample_125,True
sample_111,True
sample_108,False
sample_137,True
sample_128,True
sample_115,True
sample_136,True
sample_126,True
sample_117,True
sample_121,True
sample_104,True
sample_105,True
sample_14,True
sample_10,True
sample_113,True
sample_1,True
sample_112,True
sample_103,True
sample_109,True
sample_107,False
sample_106,True
sample_11,True
sample_138,True
sample_132,True
